iter	Passed	Remaining
435	719	931
436	720	928
437	721	926
438	722	923
439	723	920
440	724	918
441	725	916
442	731	919
443	734	919
444	735	917
445	736	914
446	737	912
447	738	910
448	739	907
449	743	909
450	749	912
451	750	910
452	752	908
453	754	907
454	757	907
455	759	905
456	763	907
457	765	905
458	766	903
459	767	901
460	769	899
461	771	898
462	775	899
463	778	899
464	780	897
465	781	895
466	782	893
467	783	890
468	786	890
469	791	892
470	792	890
471	793	887
472	794	885
473	795	882
474	796	880
475	797	878
476	798	875
477	799	873
478	802	872
479	806	873
480	807	871
481	809	869
482	811	868
483	812	866
484	813	863
485	816	863
486	823	867
487	824	865
488	826	863
489	827	861
490	828	858
491	831	858
492	836	859
493	838	858
494	839	856
495	840	853
496	841	851
497	842	848
498	842	846
499	844	844
500	846	842
501	848	841
502	851	841
503	852	838
504	853	836
505	855	834
506	856	832
507	859	832
508	864	834
509	866	832
510	867	830
511	868	828
512	870	826
513	871	823
514	874	823
515	881	826
516	882	824
517	883	821
518	884	819
519	885	817
520	886	814
521	888	813
522	890	812
523	892	811
524	894	809
525	895	806
526	896	804
527	897	802
528	898	799
529	901	799
530	906	800
531	907	798
532	909	796
533	910	794
534	911	792
535	912	789
536	913	787
537	915	786
538	919	786
539	921	785
540	922	783
541	924	781
542	925	779
543	926	776
544	927	774
545	928	772
546	930	770
547	933	770
548	936	769
549	937	766
550	938	764
551	939	762
552	940	760
553	941	758
554	942	755
555	943	753
556	945	752
557	947	750
558	949	749
559	951	747
560	952	745
561	953	743
562	954	741
563	956	739
564	957	736
565	959	735
566	961	734
567	963	732
568	964	730
569	965	728
570	967	726
571	969	725
572	971	723
573	972	721
574	975	720
575	979	720
576	980	718
577	981	716
578	983	714
579	984	713
580	986	711
581	989	710
582	992	710
583	995	709
584	996	707
585	997	704
586	998	702
587	1000	701
588	1004	700
589	1007	699
590	1009	698
591	1010	696
592	1012	694
593	1013	692
594	1015	691
595	1017	689
596	1020	688
597	1022	687
598	1024	685
599	1025	683
600	1026	681
601	1028	680
602	1030	678
603	1034	677
604	1038	678
605	1040	676
606	1041	674
607	1043	672
608	1044	670
609	1045	668
610	1048	667
611	1053	667
612	1054	665
613	1056	664
614	1058	662
615	1062	662
616	1068	663
617	1069	661
618	1071	659
619	1072	657
620	1074	655
621	1075	653
622	1078	652
623	1082	652
624	1084	650
625	1085	648
626	1086	646
627	1087	644
628	1088	641
629	1089	639
630	1090	637
631	1092	636
632	1097	636
633	1099	634
634	1100	632
635	1102	630
636	1103	628
637	1104	626
638	1104	624
639	1107	622
640	1109	621
641	1113	620
642	1114	618
643	1115	616
644	1117	615
645	1118	613
646	1119	610
647	1122	609
648	1124	608
649	1127	607
650	1128	604
651	1129	602
652	1130	600
653	1131	598
654	1132	596
655	1133	594
656	1134	592
657	1135	590
658	1137	588
659	1141	588
660	1143	586
661	1144	584
662	1145	582
663	1146	580
664	1147	577
665	1148	575
666	1149	573
667	1150	571
668	1152	570
669	1157	570
670	1158	567
671	1159	565
672	1160	563
673	1161	561
674	1162	559
675	1163	557
676	1164	555
677	1165	553
678	1167	551
679	1170	550
680	1172	549
681	1173	547
682	1174	544
683	1175	543
684	1176	540
685	1177	538
686	1178	536
687	1178	534
688	1182	533
689	1186	533
690	1187	531
691	1188	529
692	1189	527
693	1190	525
694	1191	522
695	1192	520
696	1193	518
697	1194	516
698	1197	515
699	1201	514
700	1202	512
701	1203	510
702	1204	508
703	1205	506
704	1206	504
705	1207	502
706	1208	500
707	1210	499
708	1214	498
709	1215	496
710	1216	494
711	1217	492
712	1219	490
713	1219	488
714	1220	486
715	1221	484
716	1222	482
717	1223	480
718	1225	478
719	1228	477
720	1230	476
721	1231	474
722	1232	472
723	1233	470
724	1234	468
725	1234	466
726	1235	464
727	1236	462
728	1237	460
729	1239	458
730	1240	456
731	1244	455
732	1245	453
733	1245	451
734	1246	449
735	1247	447
736	1248	445
737	1249	443
738	1250	441
739	1251	439
740	1251	437
741	1252	435
742	1253	433
743	1255	431
744	1256	430
745	1259	428
746	1260	426
747	1261	425
748	1262	423
749	1263	421
750	1264	419
751	1265	417
752	1266	415
753	1266	413
754	1267	411
755	1269	409
756	1270	407
757	1272	406
758	1273	404
759	1274	402
760	1275	400
761	1276	398
762	1277	396
763	1278	395
764	1279	393
765	1280	391
766	1281	389
767	1282	387
768	1283	385
769	1285	383
770	1286	382
771	1287	380
772	1288	378
773	1289	376
774	1290	374
775	1292	372
776	1293	371
777	1294	369
778	1295	367
779	1296	365
780	1297	363
781	1298	362
782	1300	360
783	1302	358
784	1303	357
785	1304	355
786	1305	353
787	1306	351
788	1307	349
789	1308	347
790	1309	345
791	1310	344
792	1311	342
793	1312	340
794	1314	339
795	1317	337
796	1319	335
797	1320	334
798	1321	332
799	1322	330
800	1323	328
801	1324	326
802	1325	325
803	1326	323
804	1327	321
805	1329	319
806	1331	318
807	1333	316
808	1334	314
809	1335	313
810	1335	311
811	1336	309
812	1338	307
813	1339	305
814	1339	304
815	1340	302
816	1342	300
817	1343	298
818	1345	297
819	1346	295
820	1348	293
821	1349	292
822	1350	290
823	1352	288
824	1353	287
825	1354	285
826	1355	283
827	1356	281
828	1357	280
829	1359	278
830	1360	276
831	1361	274
832	1362	273
833	1363	271
834	1364	269
835	1365	267
836	1366	266
837	1367	264
838	1367	262
839	1368	260
840	1369	258
841	1370	257
842	1371	255
843	1372	253
844	1374	252
845	1375	250
846	1376	248
847	1377	246
848	1378	245
849	1379	243
850	1380	241
851	1381	239
852	1382	238
853	1382	236
854	1383	234
855	1384	232
856	1385	231
857	1386	229
858	1387	227
859	1389	226
860	1390	224
861	1391	222
862	1391	220
863	1392	219
864	1393	217
865	1394	215
866	1395	214
867	1396	212
868	1396	210
869	1398	208
870	1399	207
871	1399	205
872	1400	203
873	1401	202
874	1403	200
875	1405	198
876	1406	197
877	1407	195
878	1407	193
879	1408	192
880	1409	190
881	1410	188
882	1411	186
883	1412	185
884	1412	183
885	1413	181
886	1414	180
887	1415	178
888	1417	176
889	1418	175
890	1419	173
891	1420	172
892	1421	170
893	1422	168
894	1423	166
895	1424	165
896	1425	163
897	1425	161
898	1426	160
899	1427	158
900	1428	156
901	1429	155
902	1430	153
903	1432	152
904	1433	150
905	1434	148
906	1435	147
907	1436	145
908	1437	143
909	1438	142
910	1439	140
911	1440	138
912	1441	137
913	1442	135
914	1443	134
915	1443	132
916	1444	130
917	1446	129
918	1448	127
919	1449	126
920	1450	124
921	1450	122
922	1451	121
923	1452	119
924	1453	117
925	1454	116
926	1455	114
927	1455	112
928	1456	111
929	1457	109
930	1458	108
931	1459	106
932	1461	104
933	1463	103
934	1464	101
935	1465	100
936	1466	98
937	1467	97
938	1468	95
939	1469	93
940	1470	92
941	1471	90
942	1472	88
943	1473	87
944	1474	85
945	1476	84
946	1478	82
947	1479	81
948	1480	79
949	1481	77
950	1482	76
951	1483	74
952	1484	73
953	1484	71
954	1485	70
955	1486	68
956	1487	66
957	1488	65
958	1489	63
959	1491	62
960	1492	60
961	1493	59
962	1494	57
963	1495	55
964	1496	54
965	1497	52
966	1498	51
967	1499	49
968	1499	47
969	1500	46
970	1501	44
971	1502	43
972	1503	41
973	1504	40
974	1506	38
975	1508	37
976	1509	35
977	1510	33
978	1511	32
979	1512	30
980	1513	29
981	1514	27
982	1515	26
983	1516	24
984	1517	23
985	1517	21
986	1519	20
987	1520	18
988	1521	16
989	1522	15
990	1523	13
991	1524	12
992	1525	10
993	1525	9
994	1526	7
995	1527	6
996	1528	4
997	1529	3
998	1530	1
999	1531	0
